Provincia,Distrito,Posto,Localidade,Povoado,CodigoEscola,NomeEscola,TemAgua,FonteAgua,QualidadeAgua,TemEnergia ,TipoEnergia,TemLatrina,TotalLatrina,EstadoLatrina,TemUrino,TotalUrino,UrinoFuncional,EstadoUrino,TemCasaBanho,TotalCB,CBFunci,Longitude,Latitude
Cabo Delgado,Balama,Balama,Muripa,Norophi,10621,Escola Primária Completa de Norophi,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.70330556,-13.50522222
Cabo Delgado,Balama,Balama,Muripa,Maco,10622,Escola Primária de Maco,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.59561111,-13.49361111
Cabo Delgado,Balama,Impire,Namara,Moponi,10623,Escola Primária Completa de Moponi,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.50080556,-13.41147222
Cabo Delgado,Balama,Impire,Namara,Namara,10624,Escola Primária 1º de Maio - Namara,Sim,Rede pública,Potável,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.46547222,-13.375
Cabo Delgado,Balama,Balama,Ntete,Nacaca,10625,Escola Primária Completa de Nacaca,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.51588889,-13.34583333
Cabo Delgado,Balama,Impire,Savaca,Sirimula,10634,Escola Primária Completa de Sirimula,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.37458333,-13.29816667
Cabo Delgado,Balama,Kuekue,Tauane,Copuito,10636,Escola Primária Completa de Copuito,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.49661111,-13.52233333
Cabo Delgado,Meluco,Meluco,Meluco sede,Ravia,10215,Escola Primária de Ravia,Sim,Furo com bomba,Potável,Sim,Painel Solar,Sim,4,Mau,Não,0,Não,Nenhum,Não,0,Não,39.38158333,-12.64394444
Cabo Delgado,Balama,Kuekue,Tauane,Tutua,10643,Escola Primária Completa de Tutua,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.53497222,-13.50608333
Cabo Delgado,Balama,Mavala,M'Paka,Chipembe,10648,Escola Primária da Barragem - Chipembe,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.63843611,-13.19421667
Cabo Delgado,Balama,Mavala,M'Paka,Nseue B,10651,"Escola Primária Completa de Nseue ""B""",Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,2,Sim,Razoável,Não,0,Não,38.48772222,-13.15777778
Cabo Delgado,Muidumbe,Chitunda,Chitunda sede,Xitaxi,10656,Escola Primária Completa de Xitaxi,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,40.00672222,-11.80780556
Cabo Delgado,Muidumbe,Muidumbe,Muidumbe sede,Nangalolo,10657,Escola Primária Completa de Nangololo,Sim,Furo com bomba,Potável,Não,Nenhum,Sim,1,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.82211111,-11.82266667
Cabo Delgado,Muidumbe,Muidumbe,Nampanha,Namande,10663,Escola Primária Completa de Namande,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,1,Sim,Razoável,Não,0,Não,39.74316667,-11.83141667
Cabo Delgado,Muidumbe,Muidumbe,Mapale,mandava,10666,Escola Primária Completa de Mandava,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,1,Sim,Razoável,Não,0,Não,39.81705556,-11.90019444
Cabo Delgado,Muidumbe,Chitunda,Mengueleua,Litapata,10670,Escola Primária Completa de Litapata,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,3,Sim,Razoável,Não,0,Não,39.95719444,-11.85830556
Cabo Delgado,Muidumbe,Chitunda,Mengueleua,Miangalewa,10671,Escola Primária Completa de Miangalewa,Sim,Furo com bomba,Potável,Sim,Rede Pública,Não,0,Nenhum,Sim,2,Sim,Razoável,Sim,2,Sim,40.09794444,-11.83286111
Cabo Delgado,Muidumbe,Miteda,Miteda sede,Lutete,10678,Escola Primária Completa  de Lutete,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,4,Sim,Razoável,Não,0,Não,39.69541667,-11.80133333
Cabo Delgado,Muidumbe,Muidumbe Sede,Muatude,Miteda,10779,Escola Primária de Miteda,Sim,Rede pública,Potável,Não,Nenhum,Não,0,Nenhum,Sim,1,Sim,Razoável,Não,0,Não,39.72566667,-11.76025
Cabo Delgado,Muidumbe,Chitunda,Chitunda sede, Rua'-rua,10809,Escola Primária de Ruà - rua,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Não,0,Nenhum,Sim,1,Sim,Razoável,Não,0,Não,40.05961111,-11.71336111
Cabo Delgado,Mocímboa da Praia,Diaca,Diaca sede,Diaca,10217,Escola Primária Completa de Diaca Sede,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Não,39.93457778,-11.53574444
Cabo Delgado,Nangade,Nangade,Nangade sede,3 de Fevereiro,10684,Escola Primária Completa de 3 de Fevereiro,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.75747222,-11.07033333
Cabo Delgado,Nangade,N'Tamba,Mualela,Mualela,10688,Escola Primária Completa de Mualela,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.64758889,-11.388375
Cabo Delgado,Mocímboa da Praia,Diaca,Nango,Tntotwe,10227,Escola Primária Completa de Ntotwe,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,2,Bom,Não,0,Não,Nenhum,Não,0,Não,40.16059167,-11.43845556
Cabo Delgado,Nangade,N'Tamba,Mualela,Ciduadua,10692,Escola Primária Completa de Xiduadua,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Mau,Sim,2,Sim,Razoável,Não,0,Não,39.66430556,-11.44830556
Cabo Delgado,Nangade,N'Tamba,Nambedo,Liché,10696,Escola Primária Completa de Lichee,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.79061111,-11.40875
Cabo Delgado,Mocímboa da Praia,Mocímboa da Praia,Mocímboa da Praia sede,Mangoma,10228,Escola Primária Completa de Mangoma,Não,Nenhuma Fonte,Nenhuma,Sim,Painel Solar,Sim,3,Bom,Não,0,Não,Nenhum,Não,0,Não,40.21997222,-11.38708333
Cabo Delgado,Nangade,Nangade,Litingina,Ngangolo,10702,Escola Primária Completa de Ngangolo,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.61527778,-11.27563889
Cabo Delgado,Nangade,Nangade,Litingina,Muiha,10704,Escola Primária Completa de Muiha,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.57591667,-11.02538889
Cabo Delgado,Nangade,Nangade,Nangade sede,Nangade Sede,10705,Escola Primária Completa de Nangade Sede,Não,Nenhuma Fonte,Nenhuma,Sim,Rede Pública,Sim,2,Bom,Sim,2,Sim,Razoável,Sim,2,Não,39.67183333,-11.06552778
Cabo Delgado,Nangade,N'Tamba,Itanda,Nhanga,10707,Escola Primária Completa de Nhanga,Não,Nenhuma Fonte,Nenhuma,Não,Nenhum,Sim,2,Bom,Sim,2,Sim,Razoável,Não,0,Não,39.55958333,-11.40380556
